k,mean accuracy,mean log loss,start time(ms),end time(ms),Elapsed time(ms)
103,0.94655913,0.051855497,1.54E+12,1.54E+12,18876
104,0.94655913,0.05201177,1.54E+12,1.54E+12,19670
105,0.94578683,0.051649958,1.54E+12,1.54E+12,18691
106,0.946173,0.052297056,1.54E+12,1.54E+12,19698
107,0.94597703,0.052331865,1.54E+12,1.54E+12,19223
108,0.9457839,0.05247239,1.54E+12,1.54E+12,19396
109,0.9459755,0.052975357,1.54E+12,1.54E+12,20058
110,0.9461686,0.0533955,1.54E+12,1.54E+12,20532
111,0.94616854,0.05364565,1.54E+12,1.54E+12,19897
112,0.94616854,0.053839285,1.54E+12,1.54E+12,20293
113,0.9459755,0.05383759,1.54E+12,1.54E+12,20200
114,0.9461686,0.054086007,1.54E+12,1.54E+12,20599
115,0.9461686,0.054210853,1.54E+12,1.54E+12,20767
116,0.94655466,0.054651607,1.54E+12,1.54E+12,20821
117,0.94655466,0.054774918,1.54E+12,1.54E+12,21067
118,0.94713384,0.055317998,1.54E+12,1.54E+12,21012
119,0.94713384,0.055464976,1.54E+12,1.54E+12,21722
120,0.94713384,0.055586495,1.54E+12,1.54E+12,21495
121,0.94713384,0.05573938,1.54E+12,1.54E+12,21657
122,0.9467478,0.05564905,1.54E+12,1.54E+12,21878
123,0.9465548,0.055689,1.54E+12,1.54E+12,22269
124,0.94636166,0.0556849,1.54E+12,1.54E+12,22446
125,0.94636166,0.055816185,1.54E+12,1.54E+12,22655
126,0.94636166,0.055960767,1.54E+12,1.54E+12,23354
127,0.9452033,0.0552809,1.54E+12,1.54E+12,23136
128,0.94520485,0.055453002,1.54E+12,1.54E+12,23366
129,0.9450132,0.055456102,1.54E+12,1.54E+12,23240
130,0.9450132,0.055567533,1.54E+12,1.54E+12,24384
131,0.9450132,0.055680998,1.54E+12,1.54E+12,23726
132,0.9453993,0.05606888,1.54E+12,1.54E+12,23797
133,0.9452063,0.056061286,1.54E+12,1.54E+12,23909
134,0.94482166,0.05591591,1.54E+12,1.54E+12,24261
135,0.94482166,0.05604909,1.54E+12,1.54E+12,24327
136,0.94482166,0.056171972,1.54E+12,1.54E+12,24966
137,0.9446286,0.056145806,1.54E+12,1.54E+12,24900
138,0.9442425,0.055978764,1.54E+12,1.54E+12,24401
139,0.9440495,0.05595813,1.54E+12,1.54E+12,24985
140,0.9442425,0.05618613,1.54E+12,1.54E+12,25418
141,0.9444355,0.056461304,1.54E+12,1.54E+12,25490
142,0.9440495,0.056309707,1.54E+12,1.54E+12,25278
143,0.9440495,0.05641495,1.54E+12,1.54E+12,25427
144,0.9444355,0.05683868,1.54E+12,1.54E+12,26125
145,0.94482166,0.05722339,1.54E+12,1.54E+12,26063
146,0.94501466,0.057460494,1.54E+12,1.54E+12,26322
147,0.94501466,0.057625253,1.54E+12,1.54E+12,26565
148,0.9452077,0.058037,1.54E+12,1.54E+12,27241
149,0.94462854,0.057813983,1.54E+12,1.54E+12,27918
150,0.94482166,0.058112346,1.54E+12,1.54E+12,28601
151,0.944437,0.057938658,1.54E+12,1.54E+12,27908
152,0.944437,0.058026664,1.54E+12,1.54E+12,28088
153,0.94424546,0.057988428,1.54E+12,1.54E+12,27931
154,0.94424546,0.05814773,1.54E+12,1.54E+12,29113
155,0.9446316,0.058498092,1.54E+12,1.54E+12,29089
156,0.9446316,0.058614124,1.54E+12,1.54E+12,30244
157,0.9446316,0.058717996,1.54E+12,1.54E+12,29215
158,0.9448246,0.058942266,1.54E+12,1.54E+12,29550
159,0.9448246,0.059044432,1.54E+12,1.54E+12,29265
160,0.9448246,0.059139766,1.54E+12,1.54E+12,30012
161,0.9450191,0.05937594,1.54E+12,1.54E+12,30170
162,0.9450191,0.059470076,1.54E+12,1.54E+12,30404
163,0.9448261,0.0594329,1.54E+12,1.54E+12,30756
164,0.9448261,0.05952058,1.54E+12,1.54E+12,31354
165,0.9448261,0.059614986,1.54E+12,1.54E+12,30917
166,0.9450191,0.059817534,1.54E+12,1.54E+12,30999
167,0.9452122,0.060045473,1.54E+12,1.54E+12,31240
168,0.9454053,0.060260702,1.54E+12,1.54E+12,31759
169,0.9452122,0.06029647,1.54E+12,1.54E+12,32820
170,0.9452122,0.060387056,1.54E+12,1.54E+12,31975
171,0.9452122,0.060482673,1.54E+12,1.54E+12,33196
172,0.9452122,0.060562115,1.54E+12,1.54E+12,33597
173,0.9452122,0.06065006,1.54E+12,1.54E+12,32871
174,0.9452122,0.060804408,1.54E+12,1.54E+12,33790
175,0.9452122,0.06091827,1.54E+12,1.54E+12,33934
176,0.9452122,0.061085097,1.54E+12,1.54E+12,33279
177,0.9452122,0.061200835,1.54E+12,1.54E+12,33865
178,0.9452122,0.061293162,1.54E+12,1.54E+12,34245
179,0.94502056,0.061243333,1.54E+12,1.54E+12,34793
180,0.94502056,0.061332025,1.54E+12,1.54E+12,35151
181,0.94502056,0.06141641,1.54E+12,1.54E+12,35140
182,0.94502056,0.061508857,1.54E+12,1.54E+12,34875
183,0.94502056,0.06160025,1.54E+12,1.54E+12,35138
184,0.94502056,0.06169284,1.54E+12,1.54E+12,35974
185,0.94502056,0.06177802,1.54E+12,1.54E+12,36544
186,0.94482756,0.061747838,1.54E+12,1.54E+12,36008
187,0.94482756,0.061831445,1.54E+12,1.54E+12,36242
188,0.94482756,0.061917514,1.54E+12,1.54E+12,36583
189,0.94482756,0.06199356,1.54E+12,1.54E+12,36952
190,0.94482756,0.06208111,1.54E+12,1.54E+12,37529
191,0.94482756,0.062158633,1.54E+12,1.54E+12,38743
192,0.94444144,0.062021684,1.54E+12,1.54E+12,38811
193,0.94444144,0.062101997,1.54E+12,1.54E+12,37669
194,0.94444144,0.062198132,1.54E+12,1.54E+12,38000
195,0.94444144,0.062315732,1.54E+12,1.54E+12,37812
196,0.9442484,0.062252022,1.54E+12,1.54E+12,38294
197,0.9436692,0.06222226,1.54E+12,1.54E+12,39385
198,0.9436692,0.06233319,1.54E+12,1.54E+12,38922
199,0.9434762,0.06233061,1.54E+12,1.54E+12,39171
200,0.9432832,0.062418737,1.54E+12,1.54E+12,39786
201,0.9432832,0.062744245,1.54E+12,1.54E+12,39053
202,0.9432832,0.0628322,1.54E+12,1.54E+12,40599
203,0.9432832,0.062962726,1.54E+12,1.54E+12,42919
204,0.94309014,0.062914625,1.54E+12,1.54E+12,45527
205,0.9427041,0.06310801,1.54E+12,1.54E+12,46368
206,0.9425109,0.06313838,1.54E+12,1.54E+12,45346
207,0.94231784,0.06307285,1.54E+12,1.54E+12,44665
208,0.9427039,0.06343724,1.54E+12,1.54E+12,43505
209,0.9427039,0.063511536,1.54E+12,1.54E+12,44757
210,0.9427039,0.063597575,1.54E+12,1.54E+12,44712
211,0.9427039,0.06367759,1.54E+12,1.54E+12,45238
212,0.9427039,0.063773215,1.54E+12,1.54E+12,42531
213,0.94289714,0.06399945,1.54E+12,1.54E+12,42623
